time,open,high,low,close,Ergotic SMI
1551484800,3805.9725,3819.6975,3759.2425,3787.94,0.14759914929585788
1551657600,3787.995,3876.36,3672.0725,3844.8225,0.14764461567708584
1551830400,3844.8475,3890.79,3809.24,3855.7375,0.15070496948537873
1552003200,3855.7675,3948.115,3765.835,3917.53,0.17063670773554854
1552176000,3916.965,3917.02,3815.0525,3850.195,0.15740516128012486
1552348800,3850.185,3877.21,3797.045,3850.965,0.1480863858234603
1552521600,3850.25,3909.7425,3780.2225,3901.3025,0.1576617632966377
1552694400,3900.5825,4039.2475,3899.6775,3965.74,0.18602907515502276
1552867200,3965.7975,4017.02,3934.77,4000.07,0.217820898039381
1553040000,3999.73,4058.8625,3905.785,3973.595,0.2269792062129099
1553212800,3973.6925,3999.77,3959.8425,3982.725,0.23691581345279863
1553385600,3980.62,3981.43,3855.625,3908.16,0.2009721933921045
1553558400,3907.8525,4036.0525,3881.465,4026.295,0.22029930539985323
1553731200,4026.0275,4100.5275,3994.1,4088.1575,0.25539171615055756
1553904000,4088.0625,4130.43,4039.9475,4095.32,0.28170503886882914
1554076800,4094.2825,5108.63,4052.07,4902.065,0.4998201174445515
1554249600,4901.035,5348.0025,4780.29,4906.9525,0.5955530132556818
1554422400,4908.11,5240.86,4886.055,5044.8925,0.6621020217559396
1554595200,5045.1925,5352.4175,5025.7325,5286.6,0.7197317239276152
1554768000,5287.595,5472.3,5143.2675,5320.65,0.7556160740316616
1554940800,5323.3175,5344.38,4909.4075,5081.23,0.6796777977672874
1555113600,5081.1775,5188.6225,5012.885,5161.725,0.6389105935512794
1555286400,5161.635,5234.2325,4946.7275,5203.27,0.6158296964492121
1555459200,5202.125,5320.915,5173.8975,5282.15,0.6072005621517151
1555632000,5282.055,5360.6425,5191.5875,5319.1475,0.6046438705326381
1555804800,5319.8825,5443.3125,5210.4175,5387.1,0.6093441218922554
1555977600,5387.075,5641.495,5363.61,5442.5525,0.6181250200914217
1556150400,5442.3375,5512.005,4821.9125,5152.02,0.5085597502949055
1556323200,5154.2775,5218.3625,5100.985,5157.275,0.4367391667393314
1556496000,5155.0925,5288.605,5070.6625,5269.5575,0.4037006631175527
1556668800,5270,5422.29,5266.975,5389.005,0.3993493273322288
1556841600,5389.0025,5842.5525,5365,5766.9175,0.45029464188919516
1557014400,5768.4225,5780.7675,5565.1925,5686.8525,0.4545869739008283
1557187200,5687.53,5987.295,5657.7375,5941,0.4874480805544636
1557360000,5946.4975,6428.5125,5933.8825,6350.4725,0.5483342369758402
1557532800,6349.8575,7583.4125,6343.65,6976.065,0.6292830389541312
1557705600,6970.955,8341.865,6866.9425,7991.525,0.719666917982881
1557878400,7991.755,8382.2375,7657.785,7880.26,0.7393964973115597
1558051200,7880.395,7942.6375,6511.1025,7262.96,0.629733853120953
1558224000,7263.185,8304.8875,7253.7975,8003.5375,0.598938676872018
1558396800,8001.7525,8114.4475,7506.4525,7623.3825,0.5263827055917125
1558569600,7621.695,8179.3925,7469.0775,8001.27,0.4997583483636642
1558742400,8001.3,8792.645,7889.57,8737.8225,0.5138743267047492
1558915200,8737.1525,8946.615,8458.985,8719.955,0.520338101405883
1559088000,8719.3,9093.925,7990.2,8275.2025,0.47197445516243886
1559260800,8277.47,8621.555,8111.14,8557.805,0.45209223813999244
1559433600,8556.5975,8835.24,8037.25,8110.6475,0.38958347260855675
1559606400,8105.5475,8105.8225,7431.4175,7788.485,0.3145813487036364
1559779200,7787.695,8132.72,7447.42,8000.715,0.275492851927738
1559952000,7999.4475,8060.0125,7510.045,7638.2825,0.21343477352210494
1560124800,7630.8825,8089.81,7522.6825,7919.825,0.18862463148786426
1560297600,7918.1675,8334.895,7822.115,8242.6825,0.19233602113294967
1560470400,8243.02,8913.0525,8178.75,8856.88,0.23322643502315743
1560643200,8856.245,9473.675,8715.185,9333.1625,0.2874003931835263
1560816000,9336.875,9359.2725,8927.7925,9278.89,0.3179031437211725
1560988800,9279.2375,10242.0775,9211.635,10227.86,0.385751781297985
1561161600,10226.96,11254.715,10062.8325,10830.4725,0.454013935834686
1561334400,10826.6,11794.195,10535.98,11757.885,0.5289753779419164
1561507200,11759.8175,13870.6275,10299.75,11151.1925,0.5145903501740263
1561680000,11154.655,12444.5575,10734.61,11868.7375,0.5269831430961447
1561852800,11870.375,12199.2725,9940.75,10545.515,0.4216570468875627
1562025600,10434.6775,12020.96,9646.02,11977.7425,0.40483287093603665
1562198400,11977.0125,12060.64,10756.7625,11001.4125,0.3316457942701219
1562371200,10995.4625,11727.42,10975.6075,11475.0375,0.30271476968211164
1562544000,11478.405,12843.1925,11329.105,12569.815,0.31748788722312354
